都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2050,519,2,2571,82,NA,2015-01-15
JP-02,青森県,245,327,6,578,21,NA,2015-01-15
JP-03,岩手県,29410,356,5,29771,29,※1,2015-01-15
JP-04,宮城県,71080,1159,5,72244,35,※1,2015-01-15
JP-05,秋田県,563,443,0,1006,20,NA,2015-01-15
JP-06,山形県,3773,614,42,4429,30,NA,2015-01-15
JP-07,福島県,71485,2654,NA,74139,46,※2 ※1,2015-01-15
JP-08,茨城県,3441,780,38,4259,42,NA,2015-01-15
JP-09,栃木県,2160,709,94,2963,25,NA,2015-01-15
JP-10,群馬県,976,273,128,1377,25,NA,2015-01-15
JP-11,埼玉県,4015,1583,34,5632,57,NA,2015-01-15
JP-12,千葉県,1886,1596,33,3515,46,NA,2015-01-15
JP-13,東京都,5783,1735,30,7548,56,NA,2015-01-15
JP-14,神奈川県,2036,0,0,2036,24,※1,2015-01-15
JP-15,新潟県,3885,160,61,4106,28,NA,2015-01-15
JP-16,富山県,189,58,3,250,10,NA,2015-01-15
JP-17,石川県,271,52,4,327,11,NA,2015-01-15
JP-18,福井県,208,40,0,248,12,NA,2015-01-15
JP-19,山梨県,602,106,1,709,21,NA,2015-01-15
JP-20,長野県,889,173,0,1062,42,NA,2015-01-15
JP-21,岐阜県,203,102,0,305,25,NA,2015-01-15
JP-22,静岡県,663,262,3,928,30,NA,2015-01-15
JP-23,愛知県,1009,148,0,1157,43,NA,2015-01-15
JP-24,三重県,364,99,0,463,15,NA,2015-01-15
JP-25,滋賀県,154,78,0,232,14,NA,2015-01-15
JP-26,京都府,484,323,0,807,15,NA,2015-01-15
JP-27,大阪府,677,185,0,862,30,NA,2015-01-15
JP-28,兵庫県,622,268,0,890,26,NA,2015-01-15
JP-29,奈良県,78,83,0,161,18,NA,2015-01-15
JP-30,和歌山県,63,32,0,95,12,NA,2015-01-15
JP-31,鳥取県,121,51,0,172,12,NA,2015-01-15
JP-32,島根県,68,23,4,95,11,NA,2015-01-15
JP-33,岡山県,754,366,0,1120,18,NA,2015-01-15
JP-34,広島県,250,187,1,438,15,NA,2015-01-15
JP-35,山口県,85,41,0,126,10,NA,2015-01-15
JP-36,徳島県,36,30,0,66,12,NA,2015-01-15
JP-37,香川県,75,16,0,91,7,NA,2015-01-15
JP-38,愛媛県,42,139,2,183,11,NA,2015-01-15
JP-39,高知県,43,43,0,86,12,NA,2015-01-15
JP-40,福岡県,546,151,0,697,39,NA,2015-01-15
JP-41,佐賀県,151,20,0,171,9,NA,2015-01-15
JP-42,長崎県,92,35,0,127,10,NA,2015-01-15
JP-43,熊本県,275,88,0,363,18,NA,2015-01-15
JP-44,大分県,194,28,1,223,15,NA,2015-01-15
JP-45,宮崎県,177,56,0,233,11,NA,2015-01-15
JP-46,鹿児島県,139,64,1,204,24,NA,2015-01-15
JP-47,沖縄県,786,41,5,832,30,NA,2015-01-15
